Generating SQLite file connect_four_alphazero_fused_cuda_graph_profile_node.sqlite from connect_four_alphazero_fused_cuda_graph_profile_node.nsys-rep
Processing [connect_four_alphazero_fused_cuda_graph_profile_node.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     18.5       4546665352      70500   64491.7   64704.0     60544     68608       1636.7  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_ed8bbbfa0fa55a73                                          
     17.2       4223670721      70500   59910.2   59776.0     58048     62369        593.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e76e835f732fbcd5                                          
     14.6       3584977040      35250  101701.5  101824.0     99232    105216        844.2  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_9ec55535630f013e                                          
      9.9       2434705981      35250   69069.7   69056.0     67904     70528        286.9  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_6d92c70dd9c727c9                                          
      9.8       2408032997       7050  341565.0  341537.0    337312    345984       1108.3  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_ac48b78f5fa257c7                                          
      8.3       2034194127       7050  288538.2  289072.0     70272    574112      59078.1  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_4208def868aac6cf                                          
      7.4       1824543582      35250   51760.1   51712.0     49984     55104        503.7  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_e11c0031792c49b6                                          
      3.3        801452640       7050  113681.2  110976.0     79168    221920      14195.0  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_64df614ad5598008                                          
      3.0        741343435      77550    9559.6    9600.0      8640     10336        275.0  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_32dae285f68825b8                                          
      1.2        301627797       5580   54055.2   54048.0     53536     54816        182.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_94388f3a1bae113a                                          
      1.2        289224762       4640   62332.9   62368.0     61984     63264        224.7  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e7365e053c7eabcd                                          
      1.0        241241459       7050   34218.6   34208.0     33760     34624        122.4  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ed089b6dada59442                                          
      0.8        208210619       7050   29533.4   29536.0     28064     30560        307.4  mojo_rl_envs_board_games_conn6A6A6A6A6A6A_48bf1cb7b5129cc9                                          
      0.8        193432728        558  346653.6  346656.5    343457    349441        955.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_8deab0a3b4751c24                                          
      0.5        119482257       7050   16947.8   16960.0     16352     17504        157.3  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_801eda6057281feb                                          
      0.3         82736280       4640   17831.1   17824.0     17600     18112         70.8  linalg_matmul_gpu__multistage6A6A6A6A6A6A_49f36fff765a2237                                          
      0.2         50439988       7050    7154.6    7136.0      6912      7648         69.8  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)               
      0.2         44411619       5580    7959.1    7904.0      7744      8736        146.4  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_713f1f2c489d7d2a                                          
