Generating SQLite file connect_four_alphazero_fused_cuda_graph_profile_node.sqlite from connect_four_alphazero_fused_cuda_graph_profile_node.nsys-rep
Processing [connect_four_alphazero_fused_cuda_graph_profile_node.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     20.6       2259992537      35250   64113.3   64128.0     62016     67937       1127.8  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_2684a24f6cad9140                                          
     18.9       2077178389      35250   58927.0   58721.0     57984     61792        680.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_0171964abd6e333d                                          
     16.6       1823378696      17625  103454.1  103360.0    100737    107681        796.0  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ba8f7ac5c05e63b5                                          
     11.0       1211037877      17625   68711.4   68704.0     67712     70176        304.0  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_4acbe80b0a9cf433                                          
      9.9       1090555658       3525  309377.5  314755.0     72512    558405      63916.2  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_e607d325387237dd                                          
      8.3        910336992      17625   51650.3   51617.0     50016     54817        499.6  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_1d0cc6376f93d2c3                                          
      3.8        419969078       3525  119140.2  117441.0     76961    205218      16566.4  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_9b1e59cdec7088f3                                          
      3.4        369955990      38775    9541.1    9569.0      8640     10304        262.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_3339a51ef7349b9e                                          
      1.7        182133818       3525   51669.2   51649.0     50913     52577        219.7  linalg_matmul_gpu__multistage6A6A6A6A6A6A_3d4832dd0ae67070                                          
      1.1        119716743       3525   33962.2   33952.0     33664     34336         96.2  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_53bf0919ecfbe76f                                          
      0.9        102126896       3525   28972.2   28992.0     27776     29952        249.6  mojo_rl_envs_board_games_conn6A6A6A6A6A6A_8f931e6614a251f7                                          
      0.6         63870737       1192   53582.8   53569.0     53184     54177        200.4  linalg_matmul_gpu__multistage6A6A6A6A6A6A_644ef3719eb04cc0                                          
      0.5         49736240       3525   14109.6   14112.0     13984     14496         59.7  linalg_matmul_gpu__multistage6A6A6A6A6A6A_b82c448e5124af1e                                          
      0.4         44471610        720   61766.1   61697.0     61504     62368        178.9  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e7365e053c7eabcd                                          
      0.2         25145899       3525    7133.6    7136.0      6880      7648         66.7  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)               
      0.2         21013775       3525    5961.4    5952.0      5568      6752        116.4  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_3212f942190b66ea                                          
      0.2         20745689       3525    5885.3    5888.0      5824      6017         19.2  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_8556288e0b8b2339                                          
      0.2         20637253       3525    5854.5    5856.0      5664      6305         48.8  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_5de47bbb1995909f                                          
      0.1         12701338        720   17640.7   17632.0     17440     17856         58.3  linalg_matmul_gpu__multistage6A6A6A6A6A6A_cb53ded37f18edc4                                          
      0.1         10461988       3525    2967.9    2976.0      2880      3168         27.6  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_eece37c0a7d48737                                          
      0.1          9577174       3716    2577.3    2560.0      2400      3936        188.8  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)               
      0.1          9471390       1193    7939.1    7936.0      7808      8320         52.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_148c04388901a009                                          
      0.1          8267751       3525    2345.5    2336.0      2304      3008         21.7  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_453acf7d245ca40d                                          
      0.1          7527692       3644    2065.8    2048.0      1888      2336         52.4  linalg_gemv_gemv_kernel_DTyp6A6A6A6AcB6A6A_d9806ee0cc390dd3                                         
      0.1          5966466        119   50138.4   50113.0     49889     50625        146.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_c8456fc18ba1185e                                          
