Generating SQLite file connect_four_alphazero_fused_cuda_graph_profile_node.sqlite from connect_four_alphazero_fused_cuda_graph_profile_node.nsys-rep
Processing [connect_four_alphazero_fused_cuda_graph_profile_node.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     20.5       3941065833      61505   64077.2   64064.0     61952     67616       1130.3  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_2684a24f6cad9140                                          
     18.8       3615542373      61504   58785.5   58624.0     57920     61376        569.8  linalg_matmul_gpu__multistage6A6A6A6A6A6A_0171964abd6e333d                                          
     16.6       3181302202      30752  103450.3  103360.0    100896    108256        799.5  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ba8f7ac5c05e63b5                                          
     11.0       2111603169      30752   68665.6   68640.0     67712     70176        308.0  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_4acbe80b0a9cf433                                          
      9.9       1906888966       6151  310012.8  314208.0     70176    624928      66546.8  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_e607d325387237dd                                          
      8.3       1588215094      30752   51645.9   51616.0     49984     54848        493.5  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_1d0cc6376f93d2c3                                          
      3.8        736415847       6150  119742.4  117088.0     77600    228768      18011.3  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_9b1e59cdec7088f3                                          
      3.4        645219382      67655    9536.9    9568.0      8640     10336        259.4  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_3339a51ef7349b9e                                          
      1.7        317177789       6150   51573.6   51520.0     50976     52576        205.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_3d4832dd0ae67070                                          
      1.1        208554262       6151   33905.7   33888.0     33632     34272         85.3  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_53bf0919ecfbe76f                                          
      0.9        178223503       6151   28974.7   28992.0     27776     29824        229.9  mojo_rl_envs_board_games_conn6A6A6A6A6A6A_8f931e6614a251f7                                          
      0.6        122078348       2280   53543.1   53536.0     53184     54176        170.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_644ef3719eb04cc0                                          
      0.5        103466749       6150   16823.9   16832.0     16224     17376        160.9  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_6b95e19251f2f8c2                                          
      0.5         89544177       1450   61754.6   61696.0     61504     62368        164.4  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e7365e053c7eabcd                                          
      0.2         43830752       6151    7125.8    7104.0      6912      7584         66.5  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)               
      0.2         36344700       6150    5909.7    5920.0      5440      6624        116.8  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_3212f942190b66ea                                          
      0.2         36202833       6150    5886.6    5888.0      5824      6048         21.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_8556288e0b8b2339                                          
      0.2         35981406       6150    5850.6    5856.0      5632      6304         53.3  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_5de47bbb1995909f                                          
      0.1         25527139       1450   17604.9   17632.0     17216     17824         78.4  linalg_matmul_gpu__multistage6A6A6A6A6A6A_cb53ded37f18edc4                                          
      0.1         18297502       6150    2975.2    2976.0      2880      3200         27.3  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_eece37c0a7d48737                                          
      0.1         18073121       2280    7926.8    7904.0      7840      8320         49.9  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_148c04388901a009                                          
      0.1         16788286       6523    2573.7    2560.0      2400      3968        202.6  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)               
      0.1         14311522       6151    2326.7    2336.0      2272      2624         18.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_453acf7d245ca40d                                          
      0.1         13141761       6378    2060.5    2048.0      1888      2336         52.8  linalg_gemv_gemv_kernel_DTyp6A6A6A6AcB6A6A_d9806ee0cc390dd3                                         
      0.1         11420224        228   50088.7   50048.0     49856     50528        124.8  linalg_matmul_gpu__multistage6A6A6A6A6A6A_c8456fc18ba1185e                                          
      0.1         10019456      12300     814.6     800.0       768       992         17.6  mojo_rl_nn_autodiff_fused_ma6A6A6A6A6A6A6A6A_187a65b66b8892b4                                       
      0.1          9986847       6150    1623.9    1632.0      1568      1856         21.3  std_algorithm_backend_gpu_el6A6A6A6A6A6A6A6A_3a25d6bb4c638a26                                       
      0.1          9708195       6150    1578.6    1568.0      1504      1888         35.1  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_a12d8661d9e31264                                          
      0.0          9524769        725   13137.6   15968.0      7808     17696       4221.7  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_4030c75b9d9052e5                                          
      0.0          7769666       6523    1191.1    1184.0      1088      1792         82.8  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, floa…
      0.0          7706498       6150    1253.1    1248.0      1184      1536         33.6  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_133602afd3b585e5                                          
      0.0          7303394       1140    6406.5    6400.0      6336      6880         34.5  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_e0faaed1cdfb026f                                          
      0.0          7007234       1140    6146.7    6048.0      5696      6848        300.3  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_18d268ddbc7401b7                                          
      0.0          6324192       1450    4361.5    4352.0      4288      4512         30.3  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_eb4e158e207929ec                                          
      0.0          6134497        725    8461.4    8960.0      6272      9344       1059.4  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_c03f05f59c1f51c2                                          
      0.0          5964096       6150     969.8     960.0       896      1152         22.2  mojo_rl_nn_autodiff_fused_ma6A6A6A6A6A6A6A6A_7e5b877e43a7025a                                       
      0.0          5854240       6150     951.9     960.0       928      1120         15.1  mojo_rl_nn_model_dropout_Dro6A6A6A6A6A6A6A6A_abdc6d5ee19bc9d2                                       
      0.0          5738657       2508    2288.1    2304.0      2080      2688         76.7  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_02a66566d377aa93                                          
      0.0          5343363       1140    4687.2    4704.0      4192      5472        289.3  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_62166a0eaf84d85e                                          
      0.0          5242082       6150     852.4     864.0       832       992         17.7  mojo_rl_nn_autodiff_combinato6A6A6A6A6A6A_c51c515e9138b3d9                                          
      0.0          5066016       6150     823.7     832.0       800       864         14.0  mojo_rl_nn_model_dropout_Dro6A6A6A6A6A6A6A6A_31bf675624ed8824                                       
      0.0          4912799       6150     798.8     800.0       767       928         15.7  mojo_rl_nn_autodiff_combinato6A6A6A6A6A6A_03f383a4255ebb33                                          
      0.0          4750557       6150     772.4     768.0       736       832         13.1  mojo_rl_nn_autodiff_fused_ma6A6A6A6A6A6A6A6A_35357823bbe4f438                                       
      0.0          4638592        725    6398.1    6592.0      5088      7904        633.3  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ad4f9377a375a028                                          
      0.0          4564225        145   31477.4   31456.0     30944     32289        247.5  mojo_rl_nn_optimizer_adamw_A6A6A6A6A6A6A6A6A_03109a491c91b1a5                                       
      0.0          4257024        145   29358.8   29344.0     28832     29920        259.9  mojo_rl_deep_agents_alphazero6A6A6A6A6A_6e39975ae1c35800                                            
      0.0          3884256        228   17036.2   17024.0     16704     17440        140.9  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_c2f2ca8340a25af1                                          
