Generating SQLite file connect_four_alphazero_fused_profile.sqlite from connect_four_alphazero_fused_profile.nsys-rep
Processing [connect_four_alphazero_fused_profile.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     18.4       4491726334      70500   63712.4   63392.0     60576     69344       1485.7  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_ed8bbbfa0fa55a73                                          
     17.3       4221050871      70500   59873.1   59744.0     57984     62464        496.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e76e835f732fbcd5                                          
     14.7       3599440170      35250  102111.8  102080.0    100128    106272        594.3  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_9ec55535630f013e                                          
     10.0       2437343475      35250   69144.5   69120.0     67680     70688        288.3  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_6d92c70dd9c727c9                                          
      9.8       2401219143       7050  340598.5  340577.0    337665    344033        963.0  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_ac48b78f5fa257c7                                          
      8.0       1954570299       7050  277244.0  274049.0     69857    551394      64830.2  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_4208def868aac6cf                                          
      7.4       1804286732      35250   51185.4   51136.0     49728     53664        528.1  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_e11c0031792c49b6                                          
      3.2        789513353       7050  111987.7  107488.5     79200    205088      15327.5  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_64df614ad5598008                                          
      3.0        731339949      77550    9430.6    9440.0      8736     10145        200.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_32dae285f68825b8                                          
      1.2        302959734       5590   54196.7   54176.0     53632     54784        143.5  linalg_matmul_gpu__multistage6A6A6A6A6A6A_94388f3a1bae113a                                          
      1.2        290812348       4650   62540.3   62464.0     62240     63200        174.7  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e7365e053c7eabcd                                          
      1.0        241558787       7050   34263.7   34272.0     33888     34624         86.8  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ed089b6dada59442                                          
      0.9        208806041       7050   29617.9   29632.0     28224     30496        300.0  mojo_rl_envs_board_games_conn6A6A6A6A6A6A_48bf1cb7b5129cc9                                          
      0.8        192387659        559  344164.0  344193.0    341377    347553       1050.6  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_8deab0a3b4751c24                                          
      0.5        119071384       7050   16889.6   16865.0     16352     17504        165.1  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_801eda6057281feb                                          
      0.3         83376492       4650   17930.4   17920.0     17728     18241         67.9  linalg_matmul_gpu__multistage6A6A6A6A6A6A_49f36fff765a2237                                          
      0.2         51031025       7050    7238.4    7232.0      6976      7648         73.5  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)               
      0.2         44637628       5590    7985.3    8000.0      7776      8352         58.9  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_713f1f2c489d7d2a                                          
      0.2         42673692       7050    6053.0    6048.0      5536      6912        127.1  mojo_rl_nn_model_linear_bn_re6A6A6A6A6A6A_7e0370d5c4590d31                                          
      0.2         41890521       7050    5941.9    5952.0      5856      6144         27.8  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_571306bac087712e                                          
      0.1         31093304       2325   13373.5   16320.0      7872     18240       4128.1  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_a0c2b39a69950098                                          
