Generating SQLite file connect_four_alphazero_fused_profile.sqlite from connect_four_alphazero_fused_profile.nsys-rep
Processing [connect_four_alphazero_fused_profile.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     20.2       4494746030      70500   63755.3   63792.5     61248     67360       1060.5  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_2684a24f6cad9140                                          
     18.6       4146340163      70500   58813.3   58656.0     57952     61280        551.9  linalg_matmul_gpu__multistage6A6A6A6A6A6A_0171964abd6e333d                                          
     16.2       3614853725      35250  102549.0  102432.0    100576    106336        740.7  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_ba8f7ac5c05e63b5                                          
     10.9       2427293806      35250   68859.4   68832.0     67840     70688        325.3  mojo_rl_nn_model_resblock_con6A6A6A6A6A6A_4acbe80b0a9cf433                                          
      9.0       2004803459       7050  284369.3  283392.0     70368    550497      58528.1  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_e607d325387237dd                                          
      8.1       1804066131      35250   51179.2   51136.0     49440     53824        492.3  mojo_rl_nn_model_conv2d_bn_re6A6A6A6A6A6A_1d0cc6376f93d2c3                                          
      3.5        789338672       7050  111962.9  108768.0     77249    197984      13738.9  mojo_rl_deep_agents_muzero_gp6A6A6A6A6A6A_9b1e59cdec7088f3                                          
      3.2        722907370      77550    9321.8    9344.0      8736     10048        202.6  mojo_rl_nn_autodiff_primitive6A6A6A6A6A6A_3339a51ef7349b9e                                          
      1.6        362261193       7050   51384.6   51393.0     51040     51841        136.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_3d4832dd0ae67070                                          
      1.4        301576443       5620   53661.3   53664.0     53376     54336        111.1  linalg_matmul_gpu__multistage6A6A6A6A6A6A_644ef3719eb04cc0                                          
      1.3        290386921       4680   62048.5   61984.0     61824     62721        162.8  linalg_matmul_gpu__multistage6A6A6A6A6A6A_e7365e053c7eabcd                                          
