Generating SQLite file sac_half_cheetah_profile_graph.sqlite from sac_half_cheetah_profile_graph.nsys-rep
Processing [sac_half_cheetah_profile_graph.sqlite] with [/opt/nvidia/nsight-compute/2025.3.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     49.5       1334328947       7820  170630.3  177920.0    134848    256544      18399.6  mojo_rl_physics3d_integrator6A6A6A6A6A6A_1aaf8671e02ff003                                           
     29.1        783798881       7820  100230.0   97888.5     24352    244545      16835.4  mojo_rl_physics3d_solver_newt6A6A6A6A6A6A_5bc07fad6fcb34ac                                          
      9.7        260733519       7820   33341.9   33728.0     24768     49664       2956.9  mojo_rl_physics3d_integrator6A6A6A6A6A6A_363bd29a0b36c97f                                           
      8.4        225625802       7820   28852.4   28864.0     24032     38880       3216.8  mojo_rl_physics3d_integrator6A6A6A6A6A6A_5bd7be96e54ab02e                                           
      0.7         19787955       1531   12924.9   12928.0     12832     13025         36.8  linalg_matmul_gpu__multistage6A6A6A6A6A6A_1ffeaae0653c4a26                                          
      0.4         11706254       1564    7484.8    7552.0      5280     11264        778.2  mojo_rl_physics3d_gpu_cfrc_ex6A6A6A6A6A6A_f04be52b46175012                                          
      0.4         10443275       4605    2267.8    2304.0      2112      2560         51.9  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)               
      0.3          8013061       1563    5126.7    4448.0      4192      7296        963.7  mojo_rl_deep_agents_core_repl6A6A6A6A6A6A_bf4e40513e0c6f25                                          
      0.2          5308226       4605    1152.7    1056.0      1024      1600        137.1  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, floa…
      0.2          4608551       1564    2946.6    2880.0      2720      3616        161.3  mojo_rl_physics3d_gpu_cvel_gp6A6A6A6A6A6A_60215870bfec9808                                          
      0.1          3733541       1563    2388.7    2368.0      2176      3136        136.3  mojo_rl_deep_agents_core_kern6A6A6A6A6A6A_c25143f70db76511                                          
